zuj,orp,cnt,x,y,name
540749,2123,637,1095808.7187127147,766772.065792778,Milešov
593711,6220,7691,1193414.508624365,642877.1058900034,Znojmo
531006,6202,111,1133038.01018018,585863.9505405405,Ludíkov
546585,5108,127,976957.9688976385,673979.549370079,Jiřetín pod Bukovou
546755,4211,63,1000438.7833333332,745324.2709523808,Brzánky
558231,3207,140,1098405.7965714273,814760.6379285711,Prádlo
590347,6113,75,1141361.7674666669,647894.6676,Bochovice
583359,6217,209,1149098.6801435412,615201.8175119617,Maršov
530751,2125,166,1086392.277349397,710617.2609036143,Tehov
574694,5209,275,1017016.5358181817,609701.1655636365,Žďárky
569585,6102,305,1114441.3750163927,662062.7601967208,Šlapanov
535231,3113,127,1177812.6362992127,748006.9496850395,Ostrolovský Újezd
566390,3206,96,1050750.5771874997,800977.6180208336,Hlince
537241,3109,71,1158098.6869014085,772112.7750704227,Babice
548111,6110,1568,1136047.2962436217,707515.6964540825,Kamenice nad Lipou
571709,5304,85,1083855.4770588235,636645.7401176473,Leštinka
538591,4107,417,1015855.5936450835,867119.3258752987,Dolní Rychnov
543543,7108,124,1147245.13016129,551551.4698387097,Hruška
555185,4106,964,1003570.857748963,848856.1855809134,Hroznětín
563161,4203,245,987845.8236734696,814457.4002857142,Křimov
567710,4213,369,976487.2743631431,771615.2645799458,Modlany
580821,5301,202,1078388.7780198015,604784.7136633659,Přívrat
541524,2120,184,1096975.8420108694,788068.9978804349,Volenice
566756,3208,349,1065873.0365329497,832422.3665616037,Bdeněves
561321,6110,42,1104542.0692857143,701763.9611904761,Chyšná
577600,5109,168,1003930.8822619045,680512.0098809525,Troskovice
552143,3110,202,1134298.2635148503,724448.6247029696,Budislav
560448,3112,94,1106360.6834042552,721015.0071276597,Běleč
591459,6113,317,1146581.229022082,657427.677507887,Přibyslavice
597881,8103,189,1085305.5429629637,513132.0748148151,Svobodné Heřmanice
549274,5204,47,1027504.2863829788,650389.5138297871,Rašín
550477,6106,53,1167296.8894339623,674840.5590566038,Chotěbudice
581739,6202,343,1123382.5190087464,587640.6080174925,Knínice
594768,6212,200,1183268.7542000003,628727.3526999997,Skalice
546089,3114,626,1193463.4917571875,723183.48525559,České Velenice
590126,7108,493,1138297.7073022313,561691.6483569978,Určice
542521,4205,71,990171.3688732396,759768.6023943658,Michalovice
555444,4103,227,1032388.9373568286,852144.3259030831,Otročín
500011,7213,741,1167494.7907422404,515548.96785425046,Želechovice nad Dřevnicí
561274,6110,42,1113383.485714286,700751.7942857144,Rovná
568180,8122,194,1097672.3525773198,513663.2719072164,Kružberk
558699,3208,71,1053768.10971831,825336.8343661971,Bučí
561487,6110,49,1124223.2946938777,688298.5732653061,Střítež pod Křemešníkem
582646,6202,1224,1115246.1367401984,588758.0735620916,Velké Opatovice
592366,7207,175,1181650.7613714274,551668.1484,Medlovice
541800,7206,858,1142751.4087645675,480154.99624708603,Dolní Bečva
536059,3102,118,1159462.7479661016,764893.3867796612,Břehov
566195,4207,215,1014931.1916279064,778940.4487906971,Hříškov
550213,6215,335,1171418.3987462688,576859.0142388056,Heršpice
598917,8111,5485,1101096.32153692,450997.33147493127,Karviná
588407,7203,126,1168098.2907142853,550971.9345238096,Cetechovice
552291,3112,79,1120672.4050632908,740458.5792405065,Dražičky
558982,3206,80,1057153.1511250003,813359.520875,Jarov
541320,2120,203,1092262.013399014,766437.6056157639,Solenice
570044,5205,272,1029498.5736397048,644526.8209558823,Hořiněves
598020,8107,285,1147342.3415789471,462704.0215087722,Bílá
586552,6210,310,1183608.335322581,566029.3930645161,Sobůlky
568406,8101,261,1104569.6594636014,492554.1383141763,Slatina
507113,8117,446,1080904.1997982063,503869.1286995515,Holasovice
578215,5312,151,1099939.1306622513,596884.8762913909,Kamenná Horka
594571,6220,252,1190222.1100396812,627918.725952381,Oleksovice
583341,6217,410,1144577.1724390252,603888.5833170732,Malhostovice
537608,6110,109,1127799.513211009,699988.3255045874,Ústrašín
560375,4107,142,1016067.4262676056,875157.1335211265,Chlum Svaté Maří
573078,5309,117,1055228.1488034187,655510.1876923075,Neratov
580945,5314,152,1070307.5197368416,620478.3569078952,Slatina
552810,7109,65,1141004.2596923076,525219.3607692309,Nahošovice
579149,5215,245,991498.2884897953,647736.8686938774,Dolní Dvůr
517208,7101,65,1140868.3633846152,511460.7926153846,Provodovice
587273,6105,108,1137438.12787037,677833.4626851855,Jezdovice
571881,2116,93,991275.4649462362,699579.8101075271,Strážiště
568091,4214,244,976556.5174590171,750904.6273770491,Malé Březno
568473,8112,373,1124974.5646648782,485451.710402145,Závišice
545368,3102,305,1161235.3937049184,766601.5161311476,Žabovřesky
565733,2115,125,1018863.2414399993,708738.6407200003,Hrušov
549479,3107,371,1120005.1250134767,764105.0869002698,Jetětice
538311,2103,918,1033180.3696296312,741900.7379629632,Klecany
545465,3106,457,1200768.9857330401,761413.6997592993,Dolní Dvořiště
536636,2115,161,1008864.0969565215,713753.625962733,Skalsko
